АВС/ DEF;От;До;Емкость;Оператор;Регион
900;0;99999;100000;Телеком Евразия;Краснодарский край
900;100000;199999;100000;Смоленская Сотовая Связь;Тверская область
900;200000;299999;100000;Челябинская Сотовая Связь;Челябинская область
900;300000;499999;200000;ЕКАТЕРИНБУРГ-2000;Свердловская область
900;500000;599999;100000;Кемеровская Мобильная Связь;Кемеровская область
900;1900000;1909999;10000;Скай-1800;Республика Адыгея
900;1910000;1919999;10000;Скай-1800;Кабардино - Балкарская Республика
900;1920000;1929999;10000;Скай-1800;Карачаево - Черкесская Республика
900;1930000;1939999;10000;Скай-1800;Республика Северная Осетия - Алания
900;1940000;1949999;10000;Скай-1800;Чеченская Республика
900;1950000;1959999;10000;Скай-1800;Краснодарский край
900;1960000;1969999;10000;Скай-1800;Республика Ингушетия
900;1970000;2169999;200000;ЕКАТЕРИНБУРГ-2000;Свердловская область
900;2170000;2187999;18000;Скай-1800;Чеченская Республика
900;2190000;2289999;100000;Смоленская Сотовая Связь;Смоленская область
900;2290000;2989999;700000;Телеком Евразия;Краснодарский край
900;2990000;2999999;10000;Вотек Мобайл;Воронежская область
900;3000000;3099999;100000;Вотек Мобайл;Воронежская область
900;3100000;3149999;50000;Нижегородская сотовая связь;Саратовская область
900;3150000;3199999;50000;Нижегородская сотовая связь;Пензенская область
900;3200000;3299999;100000;Нижегородская сотовая связь;Республика Татарстан (Татарстан)
900;3300000;3349999;50000;Нижегородская сотовая связь;Чувашская Республика
900;3350000;3449999;100000;Вымпел-Коммуникации;Хабаровский край
900;3450000;3549999;100000;Телесет Лтд.;Калининградская область
900;3550000;3749999;200000;Смоленская Сотовая Связь;Брянская область
900;3750000;3849999;100000;ЕКАТЕРИНБУРГ-2000;Курганская область
900;3850000;3949999;100000;ЕКАТЕРИНБУРГ-2000;Ханты - Мансийский - Югра АО |Тюменская область
900;3950000;4049999;100000;ЕКАТЕРИНБУРГ-2000;Ямало - Ненецкий АО |Тюменская область
900;4050000;4149999;100000;Сибирская Сотовая Связь;Магаданская область
900;4150000;4249999;100000;Сибирская Сотовая Связь;Еврейская автономная область
